French,English
être, to be
je suis, I am
ils/elles sont, they are
j'étais, I was/used to be(imp)
ils/elles seront, they will be
vous seriez, you would be
j'ai, I have
j'ai, I have(subj)
je fais, I do
ils/elles font, they do
je ferai, I will do
nous ferons, we will do
nous avons fait, we did(passé composé)
je fasse, I do(subj)
vous faites, you pl do
devoir, to have to
je dois, I have to
vous devez, you have to
ils/elles doivent, they have to
nous devions, we had/used to have to(imp)
je devrai, I will have to
ils/elles devront, they will have to
j'ai dû, I had to
aller, to go
je vais, I go
ils/elles vont, they go
j'irai, I will go
nous irons, we will go
je suis allé(e), I went
j'allais, I went/used to go(imp)
j'aille, I go(subj)
ils/elles aillent, they go(subj)
j'irais, I would go
comprendre, to understand
ils/elles comprennent, they understand
j'ai compris, I understood
vous compreniez, you pl understand(subj)
je comprenne, I understand(subj)
prendre, to take
je prends, I take
vous prenez, you pl take
ila/elles prenaient, they took/used to take(imp)
je prenne, I take(subj)
nous prenions, we take(subj)
il/elle/on prendra, he/she/one will take
je permets, I allow
j'ai permis, I allowed
je permette, I allow(subj)
ils/elles ont permis, they allowed
lire, to read
j'ai lu, I read(passé composé)
vous lisiez, you pl read/used to read(imp)
ouvrir, to open(up)
je deviens, I become
ils/elles deviennent, they become
je deviendrais, I would become
nous devenions, we became(imp)
atteindre, to achieve
j'atteignais, I achieved/used to achieve(imp)
j'ai atteint, I achieved(passé composé)
j'atteigne, I achieve(subj)
pouvoir, to be able to
je peux, I am able to
vous pouvez, you pl are able to
je pourrai, I would be able to
je puisse, I am able to(subj)
When conjugating:, PRONOUN BEFORE VERB!!
Imperfect or passé composé??, Sudden or ongoing action?
Subjunctive or indicative?, subj=uncertainty(etc..) indicative-certain
